+---------+-----------+----------------------+----------------------+----------+-------------------+-------------------+--------------+
| user_id | user_name | user_password        | user_identity_number | user_sex | user_phone_number | user_email        | household_id |
| Ppnufj  | 秦诚清    | GqV<=eRA!D~!=Q14     | 150407198103115339   | 男       | 18126106371       | Ppnufj@163.com    |          119 |
| Psi     | 柏飞生    | KNRJNiM|$XW          | 45030419790904051X   | 男       | 19058729627       | Psi@126.com       |           99 |
| Qipvt   | 韩婉      | f~eU)Ig^l;a          | 510202198908183402   | 女       | 17775069013       | 465578791@qq.com  |          125 |
| Qtlds   | 何叔浩    | 2cxgS0Wd+]a          | 64040719960418751X   | 男       | 17324948712       | Qtlds@163.com     |           76 |
| Rfeqon  | 施珊      | DVP-nAT              | 520301197209031422   | 女       | 13756011637       | Rfeqon@126.com    |           63 |
| Rhspml  | 柏江祥    | 4DXY9n?[]<06%h=^>#aE | 350401197610137370   | 男       | 16612750599       | 8387995521@qq.com |           74 |
| Rln     | 严雨婷    | %YT}-2-ItLX(         | 120207197110194747   | 女       | 17466873327       | 5666448318@qq.com |           85 |
| Rpb     | 卫瑶婷    | !T3h:!EuqYsCQs(34!92 | 630201199706223801   | 女       | 15667150229       | Rpb@126.com       |           96 |
| Tkbill  | 施梦      | $s|LZZisMLN1e^sX     | 510502197306267801   | 女       | 18518066914       | Tkbill@126.com    |           73 |
| Tzaocb  | 谢祖昌    | t=!yQ;{^36+Ly#/      | 110107196804046618   | 男       | 15251564655       | Tzaocb@126.com    |          114 |
| Uatuuib | 周娆嫣    | ]~,Hi,3+x^A9V:L&~7   | 650504197610033304   | 女       | 18115029233       | 0167168406@qq.com |          118 |
| Ujk     | 范馨娆    | k6@7N~pe,a_          | 440202197706260382   | 女       | 19788862218       | Ujk@163.com       |           70 |
| Uqb     | 戚杰新    | doIC{aHy/            | 140302197111222395   | 男       | 15083170755       | 7888391817@qq.com |           69 |
| Uxhvevy | 钱茜      | 47?*aC               | 64010419740522992X   | 女       | 13204202815       | Uxhvevy@126.com   |           88 |
| Vvvxg   | 云发诚    | X5y_Gax?}0vaIao]M-   | 630506199303312135   | 男       | 15046910635       | Vvvxg@126.com     |           66 |
| Wkvbr   | 华昌      | |+]}~q{4V}           | 410204198212115895   | 男       | 16701453619       | 430950005@qq.com  |          123 |
| Wrpzg   | 金元      | ;/b&v.T=             | 330107198502205733   | 男       | 18849690343       | Wrpzg@163.com     |          124 |
| Xfhfztk | 柏生      | HfIBfSac             | 630306199203047714   | 男       | 19724071227       | Xfhfztk@163.com   |          126 |
| Xheke   | 王祖      | 3~K@a~PYwnrxnh*VuL+  | 360503197107023652   | 男       | 14948323508       | Xheke@126.com     |          108 |
| Xzcnt   | 戚江      | ?oxJ#=2aWt)(0m4yq    | 450402198412285313   | 男       | 19122700898       | 6488757860@qq.com |          107 |
| Yjhkcrl | 戚婷琼    | hal&;ga1.DNT(e|aMB   | 42050419840217018X   | 女       | 17146595626       | Yjhkcrl@126.com   |           97 |
| Yurr    | 魏仲      | T%;gz&Rna)q:         | 220402198103189911   | 男       | 13929659455       | Yurr@163.com      |           95 |
| Yurzmd  | 孟秋      | ^/|qgs<d)o>,euI/]=n  | 540401198904014584   | 女       | 13918094150       | Yurzmd@163.com    |           77 |
| Zfksej  | 戚旭元    | $q(a8!OCEzq          | 54010119681120371X   | 男       | 15302476095       | Zfksej@163.com    |           57 |
| Zhdaqpt | 潘琼婷    | ieGWIo9v[            | 510201198908082764   | 女       | 15526760711       | 300815599@qq.com  |          113 |
+---------+-----------+----------------------+----------------------+----------+-------------------+-------------------+--------------+
77 rows in set (0.17 sec)
